"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_novavax","distributed_unk_manuf","dist_per_100k","distributed_per_100k_5plus","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_5plus","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_novavax","administered_unk_manuf","admin_per_100k","admin_per_100k_5plus","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_5plus","administered_dose1_recip_5pluspop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","series_complete_yes","series_complete_pop_pct","series_complete_5plus","series_complete_5pluspop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_novavax","series_complete_unk_manuf","series_complete_janssen_5plus","series_complete_moderna_5plus","series_complete_pfizer_5plus","series_complete_unk_manuf_5plus","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_5plus","additional_doses_5plus_vax_pct","additional_doses_12plus","additional_doses_12plus_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf","second_booster","second_booster_50plus","second_booster_50plus_vax_pct","second_booster_65plus","second_booster_65plus_vax_pct","second_booster_janssen","second_booster_moderna","second_booster_pfizer","second_booster_unk_manuf","administered_bivalent","admin_bivalent_pfr","admin_bivalent_mod","dist_bivalent_pfr","dist_bivalent_mod","bivalent_booster_5plus","bivalent_booster_5plus_pop_pct","bivalent_booster_12plus","bivalent_booster_12plus_pop_pct","bivalent_booster_18plus","bivalent_booster_18plus_pop_pct","bivalent_booster_65plus","bivalent_booster_65plus_pop_pct"
"2023-02-22T00:00:00.000","8","WI","16105275","457200","5895800","9732675","19600","0","276607","293253","322119","353509","1583230","12345487","12256552","11845569","11185546","3915267","338688","4649800","7350931","1385","4683","212033","223174","236921","245521","384890","12349425","4375414","75.1","4332357","78.9","4148841","83","3873827","85","1080047","95","3971339","68.2","3947312","71.9","3782926","75.7","3533314","77.6","1007865","95","303632","1387532","2268202","552","1684","303616","1375156","2266327","1661","303600","1374164","2103032","1578","303389","1373424","1854537","1432","30966","479896","496490","444","2415037","60.8","2413503","61.1","2362249","62.4","2260205","64","1481759","75.4","845390","83.9","961318","1425394","27823","415",,"926065","62.5","602613","71.3","256","466970","735863","128","1271350","833342","438008","1623830","784000","1260447","23","1232193","24.6","1189679","26.1","575153","56.5"
"2023-02-22T00:00:00.000","8","HI","4550260","124900","1734820","2686740","3800","0","321375","341957","375710","407728","1695030","3489896","3467864","3329699","3117620","981296","71615","1304702","2112004","343","1232","246484","260614","274930","279356","365544","3524813","1294518","91.4","1282952","95","1218757","95","1127911","95","280802","95","1154155","81.5","1148029","86.3","1090984","90.1","1008709","90.4","257580","95","66356","380364","704095","131","346","66328","378542","702683","345","66325","378254","645978","298","66135","377323","564863","261","11853","113631","132023","36","687820","59.6","687657","59.9","673648","61.7","639150","63.4","395193","77.3","218222","84.7","286756","394247","6539","236",,"235835","59.7","147634","67.7","123","142366","158377","50","296193","160566","135627","335680","235400","297735","22.4","291006","24","281144","25.2","132451","49.3"
"2023-02-22T00:00:00.000","8","IH2","4023345","111700","1672380","2231465","7800","0","193169","0","0","0","0","2548114","2533557","2421875","2213101","476221","42007","1156547","1348336","58","1166","122340","0","0","0","0","2548114","1161707","55.8","1153407","0","1096490","0","997165","0","186842","0","917304","44","914886","0","871425","0","791515","0","148393","0","39321","409689","467072","17","66","39294","408782","466727","66","39293","408574","423479","62","39248","408146","344044","62","3508","83895","60982","5","342923","37.4","342824","37.5","333081","38.2","308743","39","182174","47.6","82106","55.3","153948","186133","2524","313",,"78965","43.3","40473","49.3","21","47195","63506","239","159686","101114","58572","306210","154600","158987","0","152961","0","141736","0","44030","0"
"2023-02-22T00:00:00.000","8","PA","41739215","1569200","15502820","24610095","57100","0","326037","344836","376656","410521","1743960","27297988","27092145","26158095","24690921","8394910","800146","10458964","16034772","2155","1951","213232","223827","236051","242845","350758","27360501","11605766","90.7","11507100","95","11059810","95","10382664","95","2906924","95","9396887","73.4","9331860","77.1","8966396","80.9","8414297","82.8","2435849","95","741138","3360680","5275938","800","895","741081","3317227","5271864","888","741011","3313854","4909849","882","740432","3309973","4362311","814","93330","1136810","1205274","325","4452663","47.4","4448517","47.7","4363241","48.7","4185141","49.7","2867915","60.7","1673203","68.7","1868591","2519760","64070","202",,"1422978","49.6","950384","56.8","516","733019","1039038","59","2379733","1553112","826621","3679810","1647200","2302195","19","2254704","20.3","2182564","21.5","1066682","44.6"
"2023-02-22T00:00:00.000","8","MT","2668655","106500","1060200","1495655","6300","0","249692","264847","290831","317625","1292720","1858192","1849304","1796460","1706082","645451","62603","771328","1021404","228","2629","173861","183532","195779","203059","312662","1869052","729627","68.3","724582","71.9","698113","76.1","656638","78.2","204882","95","632255","59.2","630301","62.6","609213","66.4","573459","68.3","184396","89.3","56233","247255","327416","76","640","56226","246134","327225","640","56220","245982","306306","629","56132","245787","270861","607","10224","88792","85101","269","332425","52.6","332334","52.7","327692","53.8","316843","55.3","219427","66.4","136931","74.3","152105","174504","5336","460",,"120199","54.8","84116","61.4","132","61596","86098","101","163173","103722","59451","238580","111800","162800","16.2","159865","17.4","155483","18.5","82873","40.1"
"2023-02-22T00:00:00.000","8","NH","4995700","189000","1596140","3206060","4500","0","367409","385444","416805","452321","1967870","2956696","2941087","2860343","2699705","904434","90094","1074288","1791576","306","432","217450","226920","238647","244437","356267","2966275","1199395","88.2","1191232","91.9","1149239","95","1080017","95","303838","95","978644","72","974347","75.2","943423","78.7","888569","80.5","256681","95","80384","359021","537082","87","196","80374","356961","536729","196","80372","356581","506204","179","80339","356332","451663","152","15819","107195","133590","67","538570","55","538363","55.3","531781","56.4","509912","57.4","346253","66.7","190007","74","209286","321110","8064","94",,"184950","53.4","118706","62.5","87","71913","156587","51","321553","250531","71022","604720","147300","307759","23.7","302225","25.2","292465","26.5","141586","55.8"
"2023-02-22T00:00:00.000","8","TX","79138245","2665300","28016240","48359205","97500","0","272929","293050","328359","366447","2119270","52041424","51772337","49497676","45516001","11335021","1548495","18858114","31575374","5908","53533","179479","191714","205375","210761","303544","50891496","22166171","76.4","22018493","81.5","20839066","86.5","18904775","87.5","3749397","95","18343399","63.3","18311855","67.8","17487106","72.6","15968534","73.9","3322924","89","1354197","6239115","10732375","1846","15353","1353956","6209859","10730962","15232","1353885","6206448","9910648","14288","1352344","6199524","8402693","12235","176768","1566768","1575869","3294","7412353","40.4","7411998","40.5","7268563","41.6","7020525","44","4320313","58.5","2261551","68.1","3301081","4009263","95584","6029",,"2048486","47.4","1240206","54.8","108","1195601","1463052","2111","3068811","1865672","1203139","5113580","2669100","2998216","11.1","2930295","12.2","2824057","13.1","1190567","31.9"
"2023-02-22T00:00:00.000","8","NJ","28955715","1015900","10220240","17684675","34900","0","325997","346050","380077","417012","1962390","19717299","19614351","18895614","17628998","4846248","585119","7447326","11682478","1776","600","221987","234411","248027","253888","328440","20304725","8408364","94.7","8354926","95","7993696","95","7411656","95","1684287","95","7029125","79.1","6996695","83.6","6690883","87.8","6185658","89.1","1437358","95","523831","2424910","4068952","544","602","523770","2405100","4066681","600","523728","2403860","3762175","586","523413","2402385","3258800","559","93954","667276","675941","109","3650307","51.9","3648302","52.1","3590388","53.7","3414941","55.2","2043075","65.2","1042473","72.5","1498158","2082885","68933","161",,"956504","46.8","579882","55.6","931","540299","716794","76","1419887","866500","553387","2332800","1118700","1439328","17.2","1409995","18.5","1362872","19.6","577296","39.1"
"2023-02-22T00:00:00.000","8","PR","8768220","216600","3081420","5468500","1700","0","274548","285033","307841","334542","1290100","7809628","7798659","7451523","6878368","2036949","151616","2960909","4696758","94","251","244533","253515","261614","262437","299703","7823415","2902723","90.9","2896361","94.2","2717790","95","2497154","95","651339","95","2685197","84.1","2683071","87.2","2525910","88.7","2318425","88.5","608201","89.5","138029","963787","1582460","26","119","138009","962731","1582188","117","137998","962431","1425370","85","137878","962057","1218424","41","23137","302036","283015","10","1802601","67.1","1802552","67.2","1792175","71","1650357","71.2","931611","78","487344","80.1","709343","1081068","12147","33",,"366049","39.3","222262","45.6","252","181992","242040","4","309025","184154","124871","466210","246700","307990","10","305182","10.7","299391","11.4","152745","22.5"
"2023-02-22T00:00:00.000","8","ID","4655910","160200","1785680","2694530","15500","0","260534","278653","311347","347751","1601790","2868576","2856576","2778106","2622908","910989","90560","1080762","1691244","503","5507","160519","170964","185776","195905","313410","2900812","1142629","63.9","1136336","68","1097882","73.4","1025463","76.6","287154","95","1008971","56.5","1006315","60.2","972693","65","907515","67.8","262861","90.4","83344","345278","577733","218","1147","83333","343888","577729","1147","83333","343707","544299","1136","83315","343444","479427","1123","12428","121317","128696","396","490585","48.6","490575","48.7","482860","49.6","463997","51.1","315935","64.8","191604","72.9","202034","281631","6610","269",,"170907","54.1","116468","60.8","100","87429","124418","102","235756","147145","88611","368160","190000","235867","14.1","231745","15.5","224506","16.8","117402","40.4"
