Date,FIPS-Code,StateName,StateAbbr,County,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
2022-06-05,01001,Alabama,AL,Autauga County,44.6,56
2022-06-05,01003,Alabama,AL,Baldwin County,51.4,64.8
2022-06-05,01005,Alabama,AL,Barbour County,45.8,56.1
2022-06-05,01007,Alabama,AL,Bibb County,34.9,42.7
2022-06-05,01009,Alabama,AL,Blount County,32,38.6
2022-06-05,01011,Alabama,AL,Bullock County,54.5,69.2
2022-06-05,01013,Alabama,AL,Butler County,39.7,50
2022-06-05,01015,Alabama,AL,Calhoun County,47.3,57.6
2022-06-05,01017,Alabama,AL,Chambers County,31.7,38.1
2022-06-05,01019,Alabama,AL,Cherokee County,31,38.2
2022-06-05,01021,Alabama,AL,Chilton County,36.6,44.5
2022-06-05,01023,Alabama,AL,Choctaw County,66.8,82.8
2022-06-05,01025,Alabama,AL,Clarke County,51.4,63.2
2022-06-05,01027,Alabama,AL,Clay County,42.2,50.8
2022-06-05,01029,Alabama,AL,Cleburne County,29,34.7
2022-06-05,01031,Alabama,AL,Coffee County,47.7,59.4
2022-06-05,01033,Alabama,AL,Colbert County,48.3,57.4
2022-06-05,01035,Alabama,AL,Conecuh County,44,57.2
2022-06-05,01037,Alabama,AL,Coosa County,40.8,49.1
2022-06-05,01039,Alabama,AL,Covington County,38.3,46.6
2022-06-05,01041,Alabama,AL,Crenshaw County,34.7,42
2022-06-05,01043,Alabama,AL,Cullman County,38.4,45.4
2022-06-05,01045,Alabama,AL,Dale County,48.3,57.6
2022-06-05,01047,Alabama,AL,Dallas County,45.9,59.3
2022-06-05,01049,Alabama,AL,DeKalb County,34.2,42
2022-06-05,01051,Alabama,AL,Elmore County,46.8,57.9
2022-06-05,01053,Alabama,AL,Escambia County,36.8,46.9
2022-06-05,01055,Alabama,AL,Etowah County,41.3,49.7
2022-06-05,01057,Alabama,AL,Fayette County,35.2,41.1
2022-06-05,01059,Alabama,AL,Franklin County,44.1,53.7
2022-06-05,01061,Alabama,AL,Geneva County,40.5,49
2022-06-05,01063,Alabama,AL,Greene County,51.3,64.1
2022-06-05,01065,Alabama,AL,Hale County,61.6,73
2022-06-05,01067,Alabama,AL,Henry County,45.7,54.9
2022-06-05,01069,Alabama,AL,Houston County,43.6,52
2022-06-05,01071,Alabama,AL,Jackson County,49.8,60.5
2022-06-05,01073,Alabama,AL,Jefferson County,58.8,72.4
2022-06-05,01075,Alabama,AL,Lamar County,44.3,51.3
2022-06-05,01077,Alabama,AL,Lauderdale County,47,57.9
2022-06-05,01079,Alabama,AL,Lawrence County,47.4,55.4
2022-06-05,01081,Alabama,AL,Lee County,40.5,48.4
2022-06-05,01083,Alabama,AL,Limestone County,39.2,46.9
2022-06-05,01085,Alabama,AL,Lowndes County,51.5,65.8
2022-06-05,01087,Alabama,AL,Macon County,48.5,60.8
2022-06-05,01089,Alabama,AL,Madison County,62.8,77.2
2022-06-05,01091,Alabama,AL,Marengo County,54.7,67.4
2022-06-05,01093,Alabama,AL,Marion County,36.8,42.9
2022-06-05,01095,Alabama,AL,Marshall County,46,55.9
2022-06-05,01097,Alabama,AL,Mobile County,50.3,61.1
2022-06-05,01099,Alabama,AL,Monroe County,43.9,55
2022-06-05,01101,Alabama,AL,Montgomery County,52.8,66.6
2022-06-05,01103,Alabama,AL,Morgan County,43.9,51.7
2022-06-05,01105,Alabama,AL,Perry County,49,58.8
2022-06-05,01107,Alabama,AL,Pickens County,50.1,61.7
2022-06-05,01109,Alabama,AL,Pike County,42.5,51.4
2022-06-05,01111,Alabama,AL,Randolph County,33.2,40.6
2022-06-05,01113,Alabama,AL,Russell County,42,56
2022-06-05,01117,Alabama,AL,Shelby County,36.6,45.2
2022-06-05,01115,Alabama,AL,St. Clair County,39.4,46.9
2022-06-05,01119,Alabama,AL,Sumter County,52,68.9
