Date,First Dose Daily Avg,Second Dose Daily Avg
2022-05-12,-36173.57142857143,69545.28571428571
2022-05-11,57484.57142857143,55051.57142857143
2022-05-10,57983.42857142857,53445
2022-05-09,59658.71428571428,55121.28571428572
2022-05-08,61897,58332.857142857145
2022-05-07,62814.142857142855,59702.28571428572
2022-05-06,61456.142857142855,58864
2022-05-05,66244.14285714286,60594.57142857143
2022-05-04,65481.28571428572,59861.57142857143
2022-05-03,66990,60878
2022-05-02,64443.857142857145,58211.142857142855
2022-05-01,63435,55919.142857142855
2022-04-30,64625.28571428572,56492.57142857143
2022-04-29,65693,57367
2022-04-28,62667.42857142857,55710.42857142857
2022-04-27,69746.85714285714,62329.57142857143
2022-04-26,67774.57142857143,60927.857142857145
2022-04-25,68866.71428571429,61885.142857142855
2022-04-24,68308.57142857143,61590.28571428572
2022-04-23,66705,60620.142857142855
2022-04-22,75219.85714285714,66856.42857142857
2022-04-21,66778,64654.142857142855
2022-04-20,63691.28571428572,60596
2022-04-19,73855.57142857143,67947.71428571429
2022-04-18,78283,72385.42857142857
2022-04-17,80610.57142857143,75624.71428571429
2022-04-16,81465,76655.14285714286
2022-04-15,73792.14285714286,72125
2022-04-14,87865.14285714286,81694.71428571429
2022-04-13,87921.14285714286,82772.42857142857
2022-04-12,74934.42857142857,80768.14285714286
2022-04-11,71527.14285714286,78313.85714285714
2022-04-10,71315,77641.14285714286
2022-04-09,71032.14285714286,77911.57142857143
2022-04-08,68511,76097.42857142857
2022-04-07,62989.71428571428,70882.57142857143
2022-04-06,63609.142857142855,69580.14285714286
2022-04-05,68052.42857142857,65269
2022-04-04,66105.57142857143,62014.42857142857
2022-04-03,63148.857142857145,58532.57142857143
2022-04-02,61876.857142857145,56109.57142857143
2022-04-01,62353.57142857143,55265.57142857143
2022-03-31,61589.142857142855,52611.142857142855
2022-03-30,61021.42857142857,53081.57142857143
2022-03-29,62358.42857142857,55469.57142857143
2022-03-28,40241.57142857143,50733.28571428572
2022-03-27,41035.28571428572,52056.57142857143
2022-03-26,40716,52350.57142857143
2022-03-25,39438,51971.57142857143
2022-03-24,39983.42857142857,53442.28571428572
2022-03-23,35814.142857142855,50719.857142857145
2022-03-22,34972.42857142857,48960.71428571428
2022-03-21,60252.28571428572,57489.71428571428
2022-03-20,61883.42857142857,58901.57142857143
2022-03-19,63401.142857142855,60996.857142857145
2022-03-18,70059,65004.142857142855
2022-03-17,59902.71428571428,63893
2022-03-16,64493.42857142857,67712.14285714286
2022-03-15,67954,70617.57142857143
2022-03-14,66762,69478.42857142857
2022-03-13,68634.85714285714,71479.14285714286
2022-03-12,69995.42857142857,72653.71428571429
2022-03-11,67942.71428571429,72866.57142857143
2022-03-10,85735,79620
2022-03-09,78069.71428571429,82857.85714285714
2022-03-08,82258.85714285714,85122.14285714286
2022-03-07,83406.42857142857,85961
2022-03-06,82784,85656.85714285714
2022-03-05,86759.71428571429,88913.14285714286
2022-03-04,95960.57142857143,95602.14285714286
2022-03-03,70899.14285714286,91324.14285714286
2022-03-02,81897.57142857143,92344.14285714286
2022-03-01,81995,95939.42857142857
2022-02-28,88141.14285714286,102609.85714285714
2022-02-27,89117.71428571429,104023.42857142857
2022-02-26,86173.14285714286,101706.14285714286
2022-02-25,83113,102168.71428571429
2022-02-24,109747,111211.42857142857
2022-02-23,111334.85714285714,130121.42857142857
2022-02-22,111131.57142857143,128864.71428571429
2022-02-21,112469,131639.42857142858
2022-02-20,116216.85714285714,135725
2022-02-19,123639,144379.14285714287
2022-02-18,127808,148526.14285714287
2022-02-17,126369,149183.85714285713
2022-02-16,133250.57142857142,138920
2022-02-15,137898.2857142857,149004.42857142858
2022-02-14,138303.85714285713,148957.85714285713
2022-02-13,140539.42857142858,151879.57142857142
2022-02-12,144355.14285714287,153819.57142857142
2022-02-11,146299.57142857142,154529.7142857143
2022-02-10,151643.85714285713,156321.57142857142
2022-02-09,155472.85714285713,159350.85714285713
2022-02-08,161175.7142857143,158080.2857142857
2022-02-07,163775.14285714287,157341.85714285713
2022-02-06,168281.2857142857,158770
2022-02-05,174365.2857142857,160636.14285714287
2022-02-04,179689.85714285713,162521
2022-02-03,189402,167728.57142857142
