Geographic_Area_Name,Census2019_2,Census2019_18PlusPop_2,Census2019_5PlusPop_2,postal_code,fips_code
Alabama,4903185,3814879,4583063,AL,1
Alaska,731545,551562,683831,AK,2
Arizona,7278717,5638481,6616331,AZ,4
Arkansas,3017804,2317649,2809734,AR,5
California,39512223,30617582,36831969,CA,6
Colorado,5758736,4499217,5276317,CO,8
Connecticut,3565287,2837847,3391266,CT,9
Delaware,973764,770192,902418,DE,10
District of Columbia,705749,577581,647643,DC,11
Florida,21477737,17247808,19773422,FL,12
Georgia,10617423,8113542,9747170,GA,13
Hawaii,1415872,1116004,1333252,HI,15
Idaho,1787065,1338864,1603389,ID,16
Illinois,12671821,9853946,12003438,IL,17
Indiana,6732219,5164245,6247018,IN,18
Iowa,3155070,2428229,2943081,IA,19
Kansas,2913314,2213064,2719539,KS,20
Kentucky,4467673,3464802,4174460,KY,21
Louisiana,4648794,3561164,4356927,LA,22
Maine,1344212,1095370,1271457,ME,23
Maryland,6045680,4710993,5653980,MD,24
Massachusetts,6892503,5539703,6489537,MA,25
Michigan,9986857,7842924,9394171,MI,26
Minnesota,5639632,4336475,5211714,MN,27
Mississippi,2976149,2277566,2797771,MS,28
Missouri,6137428,4766843,5733340,MO,29
Montana,1068778,840190,989614,MT,30
Nebraska,1934408,1458334,1783098,NE,31
Nevada,3080156,2387517,2788848,NV,32
New Hampshire,1359711,1104458,1284281,NH,33
New Jersey,8882190,6943612,8358979,NJ,34
New Mexico,2096829,1620991,1966304,NM,35
New York,19453561,15425262,18418118,NY,36
North Carolina,10488084,8187369,9659751,NC,37
North Dakota,762062,581891,703502,ND,38
Ohio,11689100,9111081,10960686,OH,39
Oklahoma,3956971,3004733,3671554,OK,40
Oregon,4217737,3351175,3899246,OR,41
Pennsylvania,12801989,10167376,12084967,PA,42
Rhode Island,1059361,854866,1002559,RI,44
South Carolina,5148714,4037531,4729875,SC,45
South Dakota,884659,667558,810239,SD,46
Tennessee,6829174,5319123,6302918,TN,47
Texas,28995881,21596071,26261053,TX,48
Utah,3205958,2274774,2845963,UT,49
Vermont,623989,509984,594745,VT,50
Virginia,8535519,6674671,7946064,VA,51
Washington,7614893,5951832,6949743,WA,53
West Virginia,1792147,1432580,1719765,WV,54
Wisconsin,5822434,4555837,5457532,WI,55
Wyoming,578759,445025,544483,WY,56
Puerto Rico,3193694,2620963,3174824,PR,72
